surface_name	site_name	species_name	formation_energy	frequencies	reference
Rh	111	H	-0.31	[978.2, 768.0, 764.8]	This work
Rh	111	CH3	0.7	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Rh	111	CH2	1.23	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Rh	111	CH	1.14	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Rh	111	CH3O	1.29	[3033.3, 3028.4, 2960.6, 1472.9, 1470.1, 1446.5, 1147.3, 1146.3, 988.2, 263.0, 259.2, 255.5, 92.0, 86.1, 84.8]	This work
Rh	111	CH2O	1.74	[3047.8, 2962.5, 1443.2, 1151.8, 1108.2, 914.7, 639.8, 468.2, 329.2, 255.8, 162.9, 144.6]	This work
Rh	111	CHO	1.72	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Rh	111	CH2OH	1.44	[3704.7, 3120.3, 3021.3, 1448.6, 1345.2, 1139.1, 1081.5, 986.6, 681.0, 455.9, 425.0, 179.9, 37.5]	This work
Rh	111	CHOH	1.91	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Rh	111	COH	1.58	[3595.3, 1227.6, 1107.3, 415.5, 339.9, 309.6, 169.7, 110.6, 81.7]	This work
Ag	111	CH3O-H	2.85	[3050.3, 3045.7, 2972.9, 1471.7, 1461.5, 1433.6, 1141.2, 1122.9, 986.4, 937.3, 544.5, 236.0, 185.6, 166.9, 72.3, 39.1]	This work
Cu	111	CH3O-H	2.36	[3050.3, 3045.7, 2972.9, 1471.7, 1461.5, 1433.6, 1141.2, 1122.9, 986.4, 937.3, 544.5, 236.0, 185.6, 166.9, 72.3, 39.1]	This work
Pd	111	CH3O-H	2.26	[3050.3, 3045.7, 2972.9, 1471.7, 1461.5, 1433.6, 1141.2, 1122.9, 986.4, 937.3, 544.5, 236.0, 185.6, 166.9, 72.3, 39.1]	This work
Pt	111	CH3O-H	1.94	[3050.3, 3045.7, 2972.9, 1471.7, 1461.5, 1433.6, 1141.2, 1122.9, 986.4, 937.3, 544.5, 236.0, 185.6, 166.9, 72.3, 39.1]	This work
Rh	111	CH3O-H	1.97	[3050.3, 3045.7, 2972.9, 1471.7, 1461.5, 1433.6, 1141.2, 1122.9, 986.4, 937.3, 544.5, 236.0, 185.6, 166.9, 72.3, 39.1]	This work
Ag	111	CH3-OH	3.18	[3605.0, 3287.5, 3268.8, 3098.2, 1400.1, 1397.5, 792.9, 586.8, 529.6, 495.1, 408.0, 270.8, 224.0, 138.2, 76.5, 35.3]	This work
Cu	111	CH3-OH	2.86	[3605.0, 3287.5, 3268.8, 3098.2, 1400.1, 1397.5, 792.9, 586.8, 529.6, 495.1, 408.0, 270.8, 224.0, 138.2, 76.5, 35.3]	This work
Pd	111	CH3-OH	2.91	[3605.0, 3287.5, 3268.8, 3098.2, 1400.1, 1397.5, 792.9, 586.8, 529.6, 495.1, 408.0, 270.8, 224.0, 138.2, 76.5, 35.3]	This work
Pt	111	CH3-OH	2.94	[3605.0, 3287.5, 3268.8, 3098.2, 1400.1, 1397.5, 792.9, 586.8, 529.6, 495.1, 408.0, 270.8, 224.0, 138.2, 76.5, 35.3]	This work
Rh	111	CH3-OH	2.66	[3605.0, 3287.5, 3268.8, 3098.2, 1400.1, 1397.5, 792.9, 586.8, 529.6, 495.1, 408.0, 270.8, 224.0, 138.2, 76.5, 35.3]	This work
Ag	111	CH2-H-OH	3.31	[3674.5, 3127.7, 3016.9, 1471.5, 1361.4, 1228.0, 1133.6, 1098.4, 977.7, 742.9, 622.0, 430.0, 333.5, 204.4, 158.4, 88.3, 32.7]	This work
Cu	111	CH2-H-OH	2.7	[3674.5, 3127.7, 3016.9, 1471.5, 1361.4, 1228.0, 1133.6, 1098.4, 977.7, 742.9, 622.0, 430.0, 333.5, 204.4, 158.4, 88.3, 32.7]	This work
Pd	111	CH2-H-OH	2.03	[3674.5, 3127.7, 3016.9, 1471.5, 1361.4, 1228.0, 1133.6, 1098.4, 977.7, 742.9, 622.0, 430.0, 333.5, 204.4, 158.4, 88.3, 32.7]	This work
Pt	111	CH2-H-OH	1.96	[3674.5, 3127.7, 3016.9, 1471.5, 1361.4, 1228.0, 1133.6, 1098.4, 977.7, 742.9, 622.0, 430.0, 333.5, 204.4, 158.4, 88.3, 32.7]	This work
Rh	111	CH2-H-OH	1.83	[3674.5, 3127.7, 3016.9, 1471.5, 1361.4, 1228.0, 1133.6, 1098.4, 977.7, 742.9, 622.0, 430.0, 333.5, 204.4, 158.4, 88.3, 32.7]	This work
Ag	111	CH2-O	5.79	[3121.6, 3034.3, 1356.9, 871.7, 651.1, 515.6, 424.5, 368.7, 282.9, 231.5, 152.8]	This work
Cu	111	CH2-O	4.13	[3121.6, 3034.3, 1356.9, 871.7, 651.1, 515.6, 424.5, 368.7, 282.9, 231.5, 152.8]	This work
Pd	111	CH2-O	4.04	[3121.6, 3034.3, 1356.9, 871.7, 651.1, 515.6, 424.5, 368.7, 282.9, 231.5, 152.8]	This work
Pt	111	CH2-O	3.91	[3121.6, 3034.3, 1356.9, 871.7, 651.1, 515.6, 424.5, 368.7, 282.9, 231.5, 152.8]	This work
Rh	111	CH2-O	2.99	[3121.6, 3034.3, 1356.9, 871.7, 651.1, 515.6, 424.5, 368.7, 282.9, 231.5, 152.8]	This work
Ag	111	CH-H-O	3.84	[2887.8, 1672.8, 1198.0, 1100.2, 828.5, 631.4, 370.0, 199.7, 151.9, 75.8, 39.5]	This work
Cu	111	CH-H-O	3.17	[2887.8, 1672.8, 1198.0, 1100.2, 828.5, 631.4, 370.0, 199.7, 151.9, 75.8, 39.5]	This work
Pd	111	CH-H-O	2.48	[2887.8, 1672.8, 1198.0, 1100.2, 828.5, 631.4, 370.0, 199.7, 151.9, 75.8, 39.5]	This work
Pt	111	CH-H-O	2.48	[2887.8, 1672.8, 1198.0, 1100.2, 828.5, 631.4, 370.0, 199.7, 151.9, 75.8, 39.5]	This work
Rh	111	CH-H-O	2.2	[2887.8, 1672.8, 1198.0, 1100.2, 828.5, 631.4, 370.0, 199.7, 151.9, 75.8, 39.5]	This work
Ag	111	C-O	8.7	[506.9, 420.5, 385.3, 330.8, 219.4]	This work
Cu	111	C-O	6.42	[506.9, 420.5, 385.3, 330.8, 219.4]	This work
Pd	111	C-O	5.04	[506.9, 420.5, 385.3, 330.8, 219.4]	This work
Pt	111	C-O	5.36	[506.9, 420.5, 385.3, 330.8, 219.4]	This work
Rh	111	C-O	4.26	[506.9, 420.5, 385.3, 330.8, 219.4]	This work
Ag	111	O-O	5.85	[404.4, 368.2, 276.2, 241.8, 106.7]	This work
Cu	111	O-O	4.44	[404.4, 368.2, 276.2, 241.8, 106.7]	This work
Pd	111	O-O	4.83	[404.4, 368.2, 276.2, 241.8, 106.7]	This work
Pt	111	O-O	5.15	[404.4, 368.2, 276.2, 241.8, 106.7]	This work
Rh	111	O-O	3.7	[404.4, 368.2, 276.2, 241.8, 106.7]	This work
Ag	111	HO-H	1.74	[3645.5, 924.0, 802.5, 556.2, 404.4, 310.2, 151.2, 78.4]	This work
Cu	111	HO-H	1.29	[3645.5, 924.0, 802.5, 556.2, 404.4, 310.2, 151.2, 78.4]	This work
Pd	111	HO-H	0.98	[3645.5, 924.0, 802.5, 556.2, 404.4, 310.2, 151.2, 78.4]	This work
Pt	111	HO-H	0.86	[3645.5, 924.0, 802.5, 556.2, 404.4, 310.2, 151.2, 78.4]	This work
Rh	111	HO-H	0.75	[3645.5, 924.0, 802.5, 556.2, 404.4, 310.2, 151.2, 78.4]	This work
Ag	111	HO-H--O	1.78	[3742.8, 1435.6, 1237.6, 720.5, 662.9, 399.6, 386.3, 334.2, 280.0, 174.1, 89.3]	This work
Cu	111	HO-H--O	0.9	[3742.8, 1435.6, 1237.6, 720.5, 662.9, 399.6, 386.3, 334.2, 280.0, 174.1, 89.3]	This work
Pd	111	HO-H--O	1.38	[3742.8, 1435.6, 1237.6, 720.5, 662.9, 399.6, 386.3, 334.2, 280.0, 174.1, 89.3]	This work
Pt	111	HO-H--O	1.65	[3742.8, 1435.6, 1237.6, 720.5, 662.9, 399.6, 386.3, 334.2, 280.0, 174.1, 89.3]	This work
Rh	111	HO-H--O	0.62	[3742.8, 1435.6, 1237.6, 720.5, 662.9, 399.6, 386.3, 334.2, 280.0, 174.1, 89.3]	This work
Ag	111	O-H	3.27	[822.2, 438.8, 407.2, 309.1, 245.7]	This work
Cu	111	O-H	2.07	[822.2, 438.8, 407.2, 309.1, 245.7]	This work
Pd	111	O-H	1.88	[822.2, 438.8, 407.2, 309.1, 245.7]	This work
Pt	111	O-H	2.16	[822.2, 438.8, 407.2, 309.1, 245.7]	This work
Rh	111	O-H	1.55	[822.2, 438.8, 407.2, 309.1, 245.7]	This work
